-data: M-n200-k17.vrp
-current_solution:
vehicle_0: 0->156->112->183->94->151->92->192->97->95->117->137->13->0
vehicle_1: 0->152->58->89->153->7->123->19->48->82->18->147->0
vehicle_2: 0->53->40->26->138->154->28->132->69->122->30->70->31->127->146->0
vehicle_3: 0->166->60->99->96->6->15->111->76->50->1->101->162->190->167->27->0
vehicle_4: 0->59->37->98->100->193->191->16->61->85->93->104->0
vehicle_5: 0->196->116->77->3->158->79->129->68->150->80->177->109->0
vehicle_6: 0->88->148->11->63->189->10->159->62->182->194->106->52->0
vehicle_7: 0->87->91->142->42->172->144->57->73->74->133->22->41->145->178->115->2->0
vehicle_8: 0->179->155->4->110->198->197->56->186->75->171->72->21->0
vehicle_9: 0->5->173->84->17->45->125->46->174->8->114->199->83->118->0
vehicle_10: 0->105->180->149->195->12->184->33->157->102->176->0
vehicle_11: 0->185->81->120->136->78->169->121->29->24->163->134->25->55->165->130->54->0
vehicle_12: 0->108->126->90->160->128->20->188->103->71->161->9->51->0
vehicle_13: 0->175->168->124->113->86->141->44->119->140->38->14->43->0
vehicle_14: 0->139->187->39->23->67->170->34->164->135->0
vehicle_15: 0->47->36->143->49->64->107->181->32->131->66->35->0
vehicle_16: 0->65->0

-is_complete_solution: True
-is_valid_solution: True
-total_current_cost: 1789.0
-node_num: 200
-visited_num: 200
