-data: P-n101-k4.vrp
-current_solution:
vehicle_0: 0->36->49->64->66->71->65->35->24->67->23->14->38->44->16->61->85->91->100->37->98->92->59->99->96->6->89->0
vehicle_1: 0->28->27->69->1->50->76->77->33->81->51->9->34->78->79->3->68->80->12->26->40->58->2->13->95->94->53->0
vehicle_2: 0->87->57->15->42->97->93->17->84->5->60->83->45->8->82->7->48->47->19->11->63->32->90->62->10->70->31->88->18->52->0
vehicle_3: 0->21->73->74->72->4->54->29->55->25->39->56->75->22->41->43->86->46->20->30->0

-is_complete_solution: True
-is_valid_solution: True
-total_current_cost: 973.0
-node_num: 101
-visited_num: 101
