-data: u500_10.txt
-current_solution:
bin_0: 0,1,3
bin_1: 2,4,35
bin_2: 5,6,32
bin_3: 7,8,9,80
bin_4: 10,11,272
bin_5: 12,13,14
bin_6: 15,16,168
bin_7: 17,18,19
bin_8: 20,22
bin_9: 21,52,105
bin_10: 23,25
bin_11: 24,26,43
bin_12: 27,58,92
bin_13: 28,81
bin_14: 29,50
bin_15: 30,47,219
bin_16: 31,71,149
bin_17: 33,86
bin_18: 34,36
bin_19: 37,46,56
bin_20: 38,112
bin_21: 39,113
bin_22: 40,53
bin_23: 41,78
bin_24: 42,44
bin_25: 45,48,176
bin_26: 49,127,228
bin_27: 51,54
bin_28: 55,57
bin_29: 59,61,295
bin_30: 60,62,108
bin_31: 63,64,65,68
bin_32: 66,69,72
bin_33: 67,74
bin_34: 70,77
bin_35: 73,75,130
bin_36: 76,84
bin_37: 79,89
bin_38: 82,94
bin_39: 83,88,104
bin_40: 85,93
bin_41: 87,101,159
bin_42: 90,103
bin_43: 91,121
bin_44: 95,111
bin_45: 96,97
bin_46: 98,110
bin_47: 99,102
bin_48: 100,106
bin_49: 107,109
bin_50: 114,119,157
bin_51: 115,116
bin_52: 117,120
bin_53: 118,122
bin_54: 123,138
bin_55: 124,128,162
bin_56: 125,126
bin_57: 129,131,464
bin_58: 132,148
bin_59: 133,153
bin_60: 134,135
bin_61: 136,137,169
bin_62: 139,140
bin_63: 141,144
bin_64: 142,160,238
bin_65: 143,145
bin_66: 146,155
bin_67: 147,151,317
bin_68: 150,152
bin_69: 154,156
bin_70: 158,161
bin_71: 163,164,171
bin_72: 165,166,190
bin_73: 167,170
bin_74: 172,174,328
bin_75: 173,175
bin_76: 177,179
bin_77: 178,180,220
bin_78: 181,186
bin_79: 182,187,360
bin_80: 183,185
bin_81: 184,191
bin_82: 188,189,461
bin_83: 192,196
bin_84: 193,194,229
bin_85: 195,197
bin_86: 198,203
bin_87: 199,200
bin_88: 201,202
bin_89: 204,205
bin_90: 206,212
bin_91: 207,221,224
bin_92: 208,209,403
bin_93: 210,241
bin_94: 211,213,217
bin_95: 214,222
bin_96: 215,246,302
bin_97: 216,218
bin_98: 223,225
bin_99: 226,237,251
bin_100: 227,261
bin_101: 230,250
bin_102: 231,232,233
bin_103: 234,236,269
bin_104: 235,271
bin_105: 239,240,253
bin_106: 242,282
bin_107: 243,244,291
bin_108: 245,292,390
bin_109: 247,252
bin_110: 248,266
bin_111: 249,288
bin_112: 254,256
bin_113: 255,277
bin_114: 257,259
bin_115: 258,275
bin_116: 260,264
bin_117: 262,267
bin_118: 263,298
bin_119: 265,268,301
bin_120: 270,309
bin_121: 273,274
bin_122: 276,280,492
bin_123: 278,279,311
bin_124: 281,286
bin_125: 283,293
bin_126: 284,296,314
bin_127: 285,300
bin_128: 287,310,493
bin_129: 289,323
bin_130: 290,294,319
bin_131: 297,305
bin_132: 299,303
bin_133: 304,344
bin_134: 306,307
bin_135: 308,313
bin_136: 312,315,320
bin_137: 316,318
bin_138: 321,322,332
bin_139: 324,325,333
bin_140: 326,327
bin_141: 329,334
bin_142: 330,331
bin_143: 335,340,366
bin_144: 336,337,377
bin_145: 338,339,378
bin_146: 341,348
bin_147: 342,352
bin_148: 343,346
bin_149: 345,349
bin_150: 347,354
bin_151: 350,353
bin_152: 351,362,379
bin_153: 355,370
bin_154: 356,357
bin_155: 358,373
bin_156: 359,361
bin_157: 363,365
bin_158: 364,368
bin_159: 367,369,375
bin_160: 371,372
bin_161: 374,376
bin_162: 380,381,382,384
bin_163: 383,385,392
bin_164: 386,387,388
bin_165: 389,391
bin_166: 393,394,395
bin_167: 396,409
bin_168: 397,399,416
bin_169: 398,400,401
bin_170: 402,404
bin_171: 405,410
bin_172: 406,407
bin_173: 408,411,481
bin_174: 412,413,415
bin_175: 414,417
bin_176: 418,419
bin_177: 420,423
bin_178: 421,422
bin_179: 424,425
bin_180: 426,427,429
bin_181: 428,433
bin_182: 430,439
bin_183: 431,440,447
bin_184: 432,436
bin_185: 434,435
bin_186: 437,438,441,480
bin_187: 442,443
bin_188: 444,449,463
bin_189: 445,448,456
bin_190: 446,452
bin_191: 450,451
bin_192: 453,454,455
bin_193: 457,458
bin_194: 459,460
bin_195: 462,465
bin_196: 466,467,477
bin_197: 468,471
bin_198: 469,484
bin_199: 470,491
bin_200: 472
bin_201: 473,478
bin_202: 474,476
bin_203: 475,479
bin_204: 482,483
bin_205: 485,486
bin_206: 487,489
bin_207: 488,490
bin_208: 494
bin_209: 495,496
bin_210: 497,498,499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 211
-item_num: 500
-num_items_in_box: 500
