-data: u500_09.txt
-current_solution:
bin_0: 0,1
bin_1: 2,3
bin_2: 4,5
bin_3: 6,8,9
bin_4: 7,10
bin_5: 11,13,46
bin_6: 12,14,16
bin_7: 15,17,19
bin_8: 18,20,21
bin_9: 22,25
bin_10: 23,30
bin_11: 24,38
bin_12: 26,29
bin_13: 27,40,58
bin_14: 28,32
bin_15: 31,33
bin_16: 34,41,59
bin_17: 35,44
bin_18: 36,45
bin_19: 37,48,76
bin_20: 39,57
bin_21: 42,50
bin_22: 43,60
bin_23: 47,61,97
bin_24: 49,53
bin_25: 51,54
bin_26: 52,64
bin_27: 55,56
bin_28: 62,66
bin_29: 63,67,72
bin_30: 65,68
bin_31: 69,78
bin_32: 70,71
bin_33: 73,80
bin_34: 74,79
bin_35: 75,82,85
bin_36: 77,87,88
bin_37: 81,83
bin_38: 84,90,129
bin_39: 86,91,92
bin_40: 89,93,99
bin_41: 94,95
bin_42: 96,98,117
bin_43: 100,101
bin_44: 102,103
bin_45: 104,108
bin_46: 105,109
bin_47: 106,111,125
bin_48: 107,112,113
bin_49: 110,116
bin_50: 114,118
bin_51: 115,120
bin_52: 119,121
bin_53: 122,124
bin_54: 123,126,138
bin_55: 127,128,130,419
bin_56: 131,132,133
bin_57: 134,135,137
bin_58: 136,140
bin_59: 139,141,150
bin_60: 142,143
bin_61: 144,145
bin_62: 146,148,149
bin_63: 147,152
bin_64: 151,153
bin_65: 154,155
bin_66: 156,158
bin_67: 157,160
bin_68: 159,161
bin_69: 162,163
bin_70: 164,165,168
bin_71: 166,171,173
bin_72: 167,172
bin_73: 169,175,178
bin_74: 170,174
bin_75: 176,181,264
bin_76: 177,184
bin_77: 179,186,218
bin_78: 180,188,190
bin_79: 182,191
bin_80: 183,192
bin_81: 185,194
bin_82: 187,189
bin_83: 193,196
bin_84: 195,199,210
bin_85: 197,198
bin_86: 200,201,206
bin_87: 202,208
bin_88: 203,204,392
bin_89: 205,207,212
bin_90: 209,211
bin_91: 213,214
bin_92: 215,216
bin_93: 217,219,221,434
bin_94: 220,223
bin_95: 222,224
bin_96: 225,226,228
bin_97: 227,229
bin_98: 230,231,232
bin_99: 233,234,235
bin_100: 236,237,240
bin_101: 238,239,248
bin_102: 241,242,249
bin_103: 243,245
bin_104: 244,246
bin_105: 247,251
bin_106: 250,252
bin_107: 253,254,261
bin_108: 255,256
bin_109: 257,258,268
bin_110: 259,260,273
bin_111: 262,263
bin_112: 265,266
bin_113: 267,269,274
bin_114: 270,277,294
bin_115: 271,275
bin_116: 272,280
bin_117: 276,281
bin_118: 278,282
bin_119: 279,283
bin_120: 284,286
bin_121: 285,292
bin_122: 287,288
bin_123: 289,290
bin_124: 291,293
bin_125: 295,296
bin_126: 297,298,299
bin_127: 300,301,308
bin_128: 302,303,315
bin_129: 304,306
bin_130: 305,309
bin_131: 307,313
bin_132: 310,314,324
bin_133: 311,316,405
bin_134: 312,317
bin_135: 318,319,320
bin_136: 321,323
bin_137: 322,325,327,358
bin_138: 326,332
bin_139: 328,329
bin_140: 330,336
bin_141: 331,333
bin_142: 334,337,432
bin_143: 335,339
bin_144: 338,342
bin_145: 340,345
bin_146: 341,346,485
bin_147: 343,349,362
bin_148: 344,348
bin_149: 347,350
bin_150: 351,352
bin_151: 353,354,356
bin_152: 355,357
bin_153: 359,360,367
bin_154: 361,363
bin_155: 364,365,372
bin_156: 366,368,383
bin_157: 369,371,391
bin_158: 370,374,402
bin_159: 373,376
bin_160: 375,377
bin_161: 378,379,381,418
bin_162: 380,382
bin_163: 384,385
bin_164: 386,387,420
bin_165: 388,389
bin_166: 390,394,395
bin_167: 393,403
bin_168: 396,397,454
bin_169: 398,409
bin_170: 399,400
bin_171: 401,404
bin_172: 406,411
bin_173: 407,429
bin_174: 408,410
bin_175: 412,413,465
bin_176: 414,415
bin_177: 416,422
bin_178: 417,431
bin_179: 421,426
bin_180: 423,424
bin_181: 425,433,480
bin_182: 427,438
bin_183: 428,441
bin_184: 430,435
bin_185: 436,442
bin_186: 437,446
bin_187: 439,456
bin_188: 440,444
bin_189: 443,452
bin_190: 445,447
bin_191: 448,451
bin_192: 449,458
bin_193: 450,461
bin_194: 453,462
bin_195: 455,466
bin_196: 457,460
bin_197: 459,468
bin_198: 463,464
bin_199: 467,469
bin_200: 470,471
bin_201: 472,473
bin_202: 474,475,478
bin_203: 476,477
bin_204: 479,481,484
bin_205: 482,483,497
bin_206: 486,487
bin_207: 488,489,493
bin_208: 490,499
bin_209: 491,492
bin_210: 494,496
bin_211: 495
bin_212: 498

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 213
-item_num: 500
-num_items_in_box: 500
