-data: u500_07.txt
-current_solution:
bin_0: 0
bin_1: 1,2
bin_2: 3
bin_3: 4
bin_4: 5,6
bin_5: 7,8
bin_6: 9
bin_7: 10,11,12
bin_8: 13,14
bin_9: 15,16,17
bin_10: 18,19
bin_11: 20,21
bin_12: 22
bin_13: 23
bin_14: 24,25,26
bin_15: 27
bin_16: 28
bin_17: 29
bin_18: 30,31,32
bin_19: 33,34
bin_20: 35
bin_21: 36
bin_22: 37,38
bin_23: 39
bin_24: 40,41
bin_25: 42
bin_26: 43,44
bin_27: 45
bin_28: 46,47
bin_29: 48,49,50
bin_30: 51,52,53
bin_31: 54,55
bin_32: 56,57,58
bin_33: 59,60
bin_34: 61,62,63
bin_35: 64,65
bin_36: 66
bin_37: 67,68
bin_38: 69,70
bin_39: 71,72,73
bin_40: 74,75
bin_41: 76
bin_42: 77,78
bin_43: 79,80
bin_44: 81,82
bin_45: 83,84,85,86
bin_46: 87,88,89
bin_47: 90,91,92
bin_48: 93
bin_49: 94,95,96
bin_50: 97,98
bin_51: 99
bin_52: 100,101
bin_53: 102
bin_54: 103
bin_55: 104
bin_56: 105,106
bin_57: 107,108
bin_58: 109,110
bin_59: 111,112,113
bin_60: 114
bin_61: 115,116
bin_62: 117,118
bin_63: 119,120,121
bin_64: 122
bin_65: 123
bin_66: 124,125
bin_67: 126
bin_68: 127
bin_69: 128
bin_70: 129
bin_71: 130,131,132
bin_72: 133,134,135
bin_73: 136,137,138
bin_74: 139,140
bin_75: 141,142,143,144
bin_76: 145,146
bin_77: 147,148
bin_78: 149,150
bin_79: 151
bin_80: 152,153,154
bin_81: 155,156
bin_82: 157
bin_83: 158,159,160
bin_84: 161,162,163
bin_85: 164,165,166
bin_86: 167
bin_87: 168,169
bin_88: 170,171,172
bin_89: 173,174,175
bin_90: 176,177
bin_91: 178,179
bin_92: 180,181
bin_93: 182,183
bin_94: 184,185
bin_95: 186,187
bin_96: 188,189,190
bin_97: 191,192
bin_98: 193,194
bin_99: 195
bin_100: 196
bin_101: 197,198
bin_102: 199,200
bin_103: 201
bin_104: 202,203
bin_105: 204
bin_106: 205,206
bin_107: 207,208
bin_108: 209,210
bin_109: 211,212
bin_110: 213
bin_111: 214
bin_112: 215
bin_113: 216
bin_114: 217,218,219,220
bin_115: 221
bin_116: 222,223
bin_117: 224,225
bin_118: 226,227
bin_119: 228,229,230
bin_120: 231,232
bin_121: 233,234,235
bin_122: 236,237,238
bin_123: 239,240
bin_124: 241
bin_125: 242,243
bin_126: 244
bin_127: 245,246
bin_128: 247,248
bin_129: 249,250,251
bin_130: 252,253
bin_131: 254,255
bin_132: 256,257
bin_133: 258
bin_134: 259,260
bin_135: 261,262
bin_136: 263,264
bin_137: 265,266,267
bin_138: 268,269
bin_139: 270
bin_140: 271
bin_141: 272
bin_142: 273
bin_143: 274,275
bin_144: 276,277
bin_145: 278,279
bin_146: 280,281
bin_147: 282,283
bin_148: 284,285
bin_149: 286,287,288
bin_150: 289,290
bin_151: 291,292
bin_152: 293,294,295
bin_153: 296,297
bin_154: 298
bin_155: 299
bin_156: 300,301,302
bin_157: 303,304
bin_158: 305,306
bin_159: 307,308
bin_160: 309
bin_161: 310
bin_162: 311
bin_163: 312,313,314
bin_164: 315
bin_165: 316,317
bin_166: 318,319,320
bin_167: 321,322
bin_168: 323,324
bin_169: 325,326
bin_170: 327
bin_171: 328,329
bin_172: 330,331
bin_173: 332,333
bin_174: 334,335,336
bin_175: 337
bin_176: 338,339
bin_177: 340
bin_178: 341
bin_179: 342
bin_180: 343,344
bin_181: 345,346
bin_182: 347
bin_183: 348,349
bin_184: 350,351
bin_185: 352,353
bin_186: 354,355
bin_187: 356,357
bin_188: 358,359,360
bin_189: 361,362
bin_190: 363,364,365
bin_191: 366
bin_192: 367
bin_193: 368
bin_194: 369
bin_195: 370
bin_196: 371,372
bin_197: 373
bin_198: 374,375
bin_199: 376,377
bin_200: 378,379
bin_201: 380,381,382
bin_202: 383,384
bin_203: 385,386
bin_204: 387
bin_205: 388,389
bin_206: 390,391
bin_207: 392,393
bin_208: 394,395
bin_209: 396,397
bin_210: 398,399
bin_211: 400,401
bin_212: 402,403
bin_213: 404,405
bin_214: 406,407
bin_215: 408,409
bin_216: 410,411
bin_217: 412,413,414
bin_218: 415,416
bin_219: 417,418
bin_220: 419
bin_221: 420,421
bin_222: 422
bin_223: 423,424
bin_224: 425,426
bin_225: 427,428,429
bin_226: 430,431
bin_227: 432,433
bin_228: 434
bin_229: 435,436
bin_230: 437
bin_231: 438
bin_232: 439,440
bin_233: 441,442,443
bin_234: 444
bin_235: 445
bin_236: 446
bin_237: 447
bin_238: 448
bin_239: 449,450
bin_240: 451,452
bin_241: 453,454,455
bin_242: 456,457,458
bin_243: 459,460
bin_244: 461,462
bin_245: 463,464
bin_246: 465,466
bin_247: 467
bin_248: 468
bin_249: 469
bin_250: 470
bin_251: 471,472
bin_252: 473,474
bin_253: 475,476
bin_254: 477
bin_255: 478
bin_256: 479,480
bin_257: 481,482
bin_258: 483
bin_259: 484
bin_260: 485,486
bin_261: 487,488
bin_262: 489
bin_263: 490,491
bin_264: 492,493
bin_265: 494,495
bin_266: 496,497
bin_267: 498
bin_268: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 269
-item_num: 500
-num_items_in_box: 500
