-data: u500_10.txt
-current_solution:
bin_0: 0,1,3
bin_1: 2,4,8
bin_2: 5,6,108
bin_3: 7,9,11
bin_4: 10,12
bin_5: 13,14,45
bin_6: 15,16,168
bin_7: 17,18,19
bin_8: 20,26,68,403
bin_9: 21,88
bin_10: 22,23
bin_11: 24,69
bin_12: 25,46,101
bin_13: 27,43,176
bin_14: 28,94
bin_15: 29,32,65
bin_16: 30,104
bin_17: 31,36
bin_18: 33,61,244
bin_19: 34,35,119
bin_20: 37,47,190
bin_21: 38,66
bin_22: 39,128
bin_23: 40,77
bin_24: 41,56,233
bin_25: 42,44
bin_26: 48,58,169
bin_27: 49,92,149
bin_28: 50,53
bin_29: 51,52,311
bin_30: 54,55,80
bin_31: 57,62,319
bin_32: 59,110
bin_33: 60,63,64
bin_34: 67,74
bin_35: 70,71,72
bin_36: 73,75,171
bin_37: 76,78
bin_38: 79,81,292
bin_39: 82,105,187
bin_40: 83,84,295
bin_41: 85,86
bin_42: 87,89
bin_43: 90,122
bin_44: 91,121
bin_45: 93,95
bin_46: 96,97
bin_47: 98,138
bin_48: 99,103
bin_49: 100,102
bin_50: 106,107
bin_51: 109,111,272
bin_52: 112,113,126
bin_53: 114,116,480
bin_54: 115,131
bin_55: 117,120
bin_56: 118,157
bin_57: 123,130,362
bin_58: 124,137,390
bin_59: 125,127
bin_60: 129,134
bin_61: 132,139
bin_62: 133,164
bin_63: 135,136
bin_64: 140,161
bin_65: 141,144
bin_66: 142,162,334
bin_67: 143,145
bin_68: 146,148,317
bin_69: 147,160,379
bin_70: 150,151
bin_71: 152,153,180
bin_72: 154,163
bin_73: 155,156,492
bin_74: 158,159,166
bin_75: 165,170,228
bin_76: 167,172
bin_77: 173,174
bin_78: 175,177
bin_79: 178,179
bin_80: 181,186
bin_81: 182,191
bin_82: 183,185
bin_83: 184,194,400
bin_84: 188,189,219
bin_85: 192,196
bin_86: 193,200,392
bin_87: 195,197
bin_88: 198,203
bin_89: 199,204
bin_90: 201,202
bin_91: 205,222
bin_92: 206,212
bin_93: 207,209
bin_94: 208,211
bin_95: 210,213,441
bin_96: 214,217
bin_97: 215,220,221
bin_98: 216,218
bin_99: 223,224
bin_100: 225,226,325
bin_101: 227,229,380
bin_102: 230,241
bin_103: 231,232,337
bin_104: 234,236,269
bin_105: 235,237
bin_106: 238,239,240,277
bin_107: 242,251,296
bin_108: 243,246,352
bin_109: 245,282
bin_110: 247,250
bin_111: 248,256
bin_112: 249,261
bin_113: 252,253
bin_114: 254,262
bin_115: 255,265
bin_116: 257,259
bin_117: 258,266
bin_118: 260,264
bin_119: 263,298
bin_120: 267,268,315
bin_121: 270,271
bin_122: 273,274
bin_123: 275,276,369
bin_124: 278,279
bin_125: 280,281
bin_126: 283,288
bin_127: 284,286
bin_128: 285,300
bin_129: 287,293
bin_130: 289,301,461
bin_131: 290,291
bin_132: 294,297,439
bin_133: 299,302,314
bin_134: 303,305
bin_135: 304,320
bin_136: 306,307
bin_137: 308,309
bin_138: 310,312,388
bin_139: 313,316
bin_140: 318,321,366
bin_141: 322,323,377
bin_142: 324,326
bin_143: 327,328,370
bin_144: 329,332
bin_145: 330,331
bin_146: 333,335,464
bin_147: 336,338,440
bin_148: 339,340,349
bin_149: 341,348
bin_150: 342,357
bin_151: 343,344
bin_152: 345,346
bin_153: 347,353
bin_154: 350,354
bin_155: 351,373
bin_156: 355,393
bin_157: 356,376
bin_158: 358,387
bin_159: 359,360,381,415
bin_160: 361,363
bin_161: 364,378,484
bin_162: 365,367
bin_163: 368,371
bin_164: 372,374
bin_165: 375,382,385
bin_166: 383,384,386
bin_167: 389,391
bin_168: 394,395,404
bin_169: 396,401
bin_170: 397,406
bin_171: 398,399,413
bin_172: 402,419
bin_173: 405,409
bin_174: 407,408
bin_175: 410,411,417
bin_176: 412,418
bin_177: 414,416,452
bin_178: 420,423
bin_179: 421,422
bin_180: 424,425
bin_181: 426,427,429
bin_182: 428,462
bin_183: 430,447
bin_184: 431,435
bin_185: 432,433
bin_186: 434,454
bin_187: 436,437,438
bin_188: 442,443
bin_189: 444,479
bin_190: 445,449,466
bin_191: 446,448
bin_192: 450,451
bin_193: 453,455,456,463
bin_194: 457,458
bin_195: 459,460
bin_196: 465,467
bin_197: 468,471
bin_198: 469,493
bin_199: 470,489
bin_200: 472
bin_201: 473,478
bin_202: 474,476
bin_203: 475,477
bin_204: 481,482
bin_205: 483,485
bin_206: 486,488
bin_207: 487,496
bin_208: 490,491
bin_209: 494
bin_210: 495,497
bin_211: 498,499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 212
-item_num: 500
-num_items_in_box: 500
